id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
GV8X14NV02,crossover,0.17096973840835872,0.0755523602489652,1,9,19,212,3,5
6EQBNYOY7E,mutation,0.29935923158270394,0.009896686116493247,1,15,30,1768,6,5
KMQQ1Y61JQ,crossover,0.263643452035786,0.014768061512972261,0,15,24,1707,5,4
U1OTTNXVDR,crossover,0.2445541132655893,0.028786252984885845,1,14,23,694,5,5
8DX3WC402N,crossover,0.22912401226353662,0.030559462817843434,0,11,21,693,5,3
FW91FO91JO,crossover,0.2612437962341666,0.0150290218470015,0,16,19,361,5,5
69XKCRPWOV,crossover,0.2661343642714251,0.019498705970327664,0,12,19,350,5,5
LKQF5PKJ3E,crossover,0.31406734963606875,0.004074595042379128,0,18,20,1668,7,6
RE1MLS0JE9,crossover,0.2989991995149104,0.0020011592059578226,0,18,19,951,6,5
TQE25P91MT,crossover,0.29659927916558604,0.0033125630683097512,0,15,15,516,6,7
X46L5OMV18,crossover,0.3192573180583105,0.0038209318681563104,0,10,15,447,6,7
BJI3JASAQ0,crossover,0.2069648181984869,0.04746176983229042,1,10,25,627,4,5
M4PV3BAIUD,mutation,0.17452984064674748,0.06702754017607698,0,10,20,434,3,4
WZS57NGVFT,crossover,0.28814545767413213,0.008458103183229593,0,17,20,320,6,6
ASQHCRU0S8,crossover,0.30118043223874713,0.005092375093473142,0,16,20,303,6,5
96IMAPVJW8,crossover,0.2104617037083698,0.04075046771319521,1,13,19,303,4,4
GB4GAOSR1G,mutation,0.20974207644678122,0.045160037139068576,0,13,18,694,4,4
63GYZAATCE,crossover,0.3369780607681211,0.0016262241854284737,1,14,25,953,6,4
SWRB6AELI7,crossover,0.30698948436713924,0.0015928657405991711,0,14,22,653,6,3
E06CVCAGT9,mutation,0.29826191554389847,0.008458103183229593,1,16,25,834,6,5
VADXWSXCC5,crossover,0.30510694643963454,0.005199400103967154,0,12,22,772,6,2
WFEZ25HDLI,mutation,0.2705378295381471,0.012211970677926988,0,13,17,519,5,7
KF7C43D0VL,crossover,0.2868459475535058,0.01376418081389046,0,10,15,492,5,4
KKO6O5CTO1,crossover,0.29809890605130074,0.008250655354447377,0,16,19,364,6,5
G6FONUP565,crossover,0.20375709159228983,0.045548176544009514,0,12,19,347,4,5
COABNV2BHK,crossover,0.2069648181984869,0.04746176983229042,1,10,26,844,4,4
8RQHW53ZTR,crossover,0.2150164607734686,0.0321453788824365,0,9,22,442,4,3
V1FRKMUL8A,mutation,0.25348904012423445,0.01811363554231101,1,13,28,1188,5,4
0FUJRWMFQQ,crossover,0.25348904012423445,0.01811363554231101,1,13,28,663,5,3
UY4LQGHAWI,crossover,0.28813770408838657,0.0007231137884351896,0,17,21,1409,6,4
XD136VMJJ7,mutation,0.2741755639158714,0.01377113048989656,0,17,20,1341,5,4
EOTXDM0GXI,crossover,0.22409163078570915,0.02585557461311154,1,11,17,201,4,6
V7DF06SIWZ,crossover,0.17433830075341505,0.06885426251428159,0,10,17,184,3,5
OG0JRF23KR,mutation,0.26682066542989136,0.01970615379910988,0,13,26,672,5,6
XR0ZH8JUFJ,crossover,0.2020120815332389,0.04476529554192184,0,12,24,481,4,4
EP1MI1IR7L,crossover,0.17096973840835872,0.0755523602489652,1,9,19,310,3,5
MAEN39G0KN,crossover,0.17160808818020445,0.06752930678371774,0,9,18,279,3,4
UH55P8REMZ,crossover,0.2997171968194037,0.009321252943187787,1,15,24,1028,6,4
OBTEGRZOVB,crossover,0.3122478773379125,0.0030314486738628257,0,13,23,578,6,3
96GY1ST3K6,crossover,0.2441506708407113,0.028786252984885845,1,14,26,1017,5,2
7WCI2DY43G,mutation,0.26506217399544907,0.015289982181030726,0,15,23,637,5,2
3P1JQI3TYM,crossover,0.23049222439133177,0.027688899143521926,1,12,25,267,5,4
UK9Z8I23PK,mutation,0.2149224113465179,0.03188441854840726,0,9,24,247,4,3
AMPTV6Z05F,crossover,0.26361210734643625,0.0217135677134732,0,14,27,1030,5,3
AZVL145VE3,crossover,0.20197785800021328,0.04690649071940266,0,12,25,777,4,3
PUK36QDOTG,crossover,0.2648897545617561,0.016360579769771136,0,15,26,1841,5,5
W490D1Y0GS,crossover,0.265987669217398,0.01782591895565829,0,13,23,1308,5,4
ZC20R4LAIP,crossover,0.26124408732309956,0.008765973830300033,0,14,16,294,5,5
VTBB9VBI7S,crossover,0.26461121878312543,0.011040950270898374,0,13,13,246,5,5
CBT4O1T8CL,mutation,0.20691709452175644,0.033182618026347616,0,11,12,191,4,6
5B6CHB10WF,mutation,0.16876800408980652,0.06465874310939623,0,9,12,186,3,5
T34SB3ED0P,crossover,0.2671570633987673,0.01464748463426635,0,8,28,783,5,3
E549SIJ4S0,mutation,0.21216073771260802,0.036347500479527645,0,8,27,721,4,3
4MVE2EJWUR,crossover,0.330276066164926,0.009481790458928809,1,20,29,1263,7,6
