id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
WLLH8R501U,mutation,0.22118624673014475,0.029562531794767727,1,9,28,817,4
EXN2KCYOSC,crossover,0.2911288002368877,0.007949734383383047,0,21,22,851,6
Z5RYBGZAUF,crossover,0.27336185603728425,0.013557080468908536,0,20,19,768,5
09N3AZN87T,crossover,0.28585878922571983,0.006410728631831175,1,27,17,1210,6
F99M342NC8,mutation,0.2698019927455444,0.025166514237106266,0,24,14,1190,5
9KU9T723TB,mutation,0.29422062080227807,0.00788267000992414,1,17,24,1630,6
B0K88LZ5CA,crossover,0.30510694643963454,0.005199400103967154,0,12,23,1605,6
1NS11ULXQQ,crossover,0.24057652616444813,0.023801250385707018,1,14,40,1107,5
59NYPSHSEH,crossover,0.21159274365430203,0.03423306155467032,0,8,40,747,4
TD463SIWN0,crossover,0.30572408346152335,0.011234846231468688,1,6,33,1235,6
3LSLKWWEAZ,crossover,0.2770988718089663,0.007835759696882938,0,6,31,1054,5
09NIDLQ9K0,crossover,0.2610302648888766,0.015256623736201416,0,19,15,562,5
P4YH939ZV9,mutation,0.2235513745931904,0.041319298694294876,0,17,23,474,4
B1N0WOMTKQ,crossover,0.2283661709783288,0.02473806671132992,1,18,37,134,5
AU9BMJ6UIR,crossover,0.2026250301293333,0.040489507379165984,0,14,30,122,4
L4L7LV4S4S,crossover,0.21774322320844663,0.04017503453988974,0,22,29,314,4
K0XIDRAP78,crossover,0.20643784772095453,0.04675255539586745,0,13,21,309,4
6OZW1TW8K7,mutation,0.2145337323443175,0.030787064707043357,1,8,30,696,4
GGPVLIL4DJ,crossover,0.26153562195602476,0.014145718026625606,0,7,30,378,4
QMRZJMNB3T,crossover,0.27599371122403105,0.010940527452610163,1,9,21,1327,5
YVDQBMDOZ9,crossover,0.21472959959426685,0.03240633921646573,0,9,21,1317,4
C5CPJ414JP,crossover,0.20822429701706535,0.03652158986348056,1,12,38,275,4
