id,creation_mode,error,dem_fp,dem_ppv,num_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
DQUJQLZAPE,crossover,0.1339745962155613,1.0,1.0,3,0,3,13,3,6,2
PUVFH38RX3,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,13,3,7,7
JQHGYGV7RH,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,13,3,7,6
H81DUK0UVA,crossover,0.06458565330651467,1.0,0.0,3,1,4,18,3,8,3
JLBT9B234Q,crossover,0.06458565330651467,1.0,0.0,2,0,3,18,2,7,2
BPUXRPLKR8,crossover,0.17084380241115005,0.4,0.25,2,1,4,23,2,6,7
ZTVHZMTB5F,mutation,0.17084380241115005,0.4,0.25,2,0,4,23,2,5,6
7M9NXTFNL5,crossover,0.1339745962155613,1.0,1.0,3,1,4,18,3,6,5
7JD4QK8D7P,mutation,0.09861218113400261,1.0,0.1428571428571429,3,0,4,15,3,5,5
AKDADQ85AC,mutation,0.036375888340568485,1.0,0.1428571428571429,5,0,4,9,5,7,5
5GDVNQHW92,mutation,0.0,1.0,0.0,4,0,4,11,4,7,5
J8JIGH9DYB,mutation,0.06458565330651467,1.0,0.0,3,1,4,21,3,7,5
DBCASOJU9V,crossover,0.06458565330651467,1.0,0.0,2,0,3,20,2,7,4
0ID7L0YMZC,crossover,0.06458565330651467,1.0,0.0,3,1,4,5,3,8,4
4O608HMKSY,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,5,3,7,2
P387Q02HAZ,mutation,0.06458565330651467,1.0,0.0,2,0,3,14,2,7,3
US2NIZRMHU,crossover,0.06458565330651467,1.0,0.0,2,0,3,13,2,7,2
U8Y8RC6T92,crossover,0.06458565330651467,1.0,0.0,2,0,4,15,2,8,5
CSY2UENUXU,crossover,0.06458565330651467,1.0,0.0,2,0,3,14,2,7,4
6RVHUW8HJA,crossover,0.17084380241115005,0.4,0.25,2,1,4,19,2,3,8
UV3Y01BX29,mutation,0.17084380241115005,0.4,0.25,2,0,3,6,2,2,7
OL13ZGNMWR,crossover,0.06458565330651467,1.0,0.0,4,1,4,13,4,6,5
UX27A21SBN,crossover,0.09861218113400261,1.0,0.1428571428571429,4,0,3,13,4,5,4
XCDB2Z0WBK,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,14,3,7,5
U9XZDIOZUO,mutation,0.036375888340568485,1.0,0.1428571428571429,3,0,3,11,3,7,4
90M0AMBU0D,crossover,0.1339745962155613,1.0,1.0,3,0,4,18,3,6,6
963C8BF2FX,crossover,0.17084380241115005,0.4,0.25,2,0,3,16,2,5,4
UT59H5BLH4,crossover,0.17084380241115005,0.4,0.25,2,0,4,13,2,6,3
PNVG21O4G8,crossover,0.17084380241115005,0.4,0.25,2,0,3,13,2,6,3
5KO8PPI5ET,mutation,0.06458565330651467,1.0,0.0,3,0,4,17,3,8,5
1P4A1LCN17,crossover,0.06458565330651467,1.0,0.0,2,0,3,14,2,7,5
P4BTO9BW3E,crossover,0.06458565330651467,1.0,0.0,2,1,3,21,2,7,6
VMNN6110FN,crossover,0.17084380241115005,0.4,0.25,2,0,3,19,2,6,4
TWZAD4IZAQ,crossover,0.17084380241115005,0.4,0.25,2,0,4,23,2,6,7
F1HN2A70HI,mutation,0.17084380241115005,0.4,0.25,2,0,3,22,2,6,3
D7ONX0HSHK,mutation,0.0,1.0,0.0,4,0,4,8,4,7,5
PA63S6EBLM,mutation,0.036375888340568485,1.0,0.1428571428571429,3,0,3,7,3,7,4
OQOM2H5BXF,crossover,0.17084380241115005,0.4,0.25,3,1,4,23,3,5,6
HTSAWPU4B5,crossover,0.17084380241115005,0.4,0.25,3,1,3,19,3,4,5
1AUTA9RSSX,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,13,3,7,7
SJSHJ0I6L2,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,11,3,7,5
C87FHK6G10,crossover,0.17084380241115005,0.4,0.25,2,1,4,17,2,5,2
ML31VHKC32,crossover,0.17084380241115005,0.4,0.25,2,0,3,17,2,4,2
RHWK2P8T3M,crossover,0.06458565330651467,1.0,0.0,3,0,4,11,3,8,5
YG1OLXHPMD,mutation,0.036375888340568485,1.0,0.1428571428571429,3,0,3,9,3,7,4
QZSK8BLGTW,crossover,0.17084380241115005,0.4,0.25,2,1,4,20,2,6,6
L85Y6RL4OJ,crossover,0.17084380241115005,0.4,0.25,2,0,4,19,2,5,5
O1ZBZROXX9,crossover,0.06458565330651467,1.0,0.0,3,1,4,15,3,8,3
RRFD0G9ZD0,crossover,0.06458565330651467,1.0,0.0,2,0,4,12,2,7,3
8TSM6YOI67,mutation,0.0,1.0,0.0,4,0,4,11,4,7,5
EU817JOQOT,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,10,3,7,5
KUIUEFE8IT,crossover,0.06458565330651467,1.0,0.0,3,0,4,21,3,8,5
8FNRKJX0CO,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,16,3,7,4
IP99RRTAF8,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,11,3,7,5
BYK455S00Y,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,10,3,7,5
0RX2LF800B,crossover,0.06458565330651467,1.0,0.0,2,1,4,24,2,7,1
L6UHEKQH82,crossover,0.17084380241115005,0.4,0.25,2,1,4,18,2,6,1
I8OC4DMYKG,mutation,0.06458565330651467,1.0,0.0,3,1,4,10,3,7,3
V44F3K3I4S,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,10,3,7,3
2NP5KGJ7YD,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,10,3,7,5
Z0XU8MR204,mutation,0.036375888340568485,1.0,0.1428571428571429,3,0,3,9,3,7,3
4QQANVIL43,mutation,0.17084380241115005,0.4,0.25,2,1,3,13,2,4,2
X56N2X9KV4,crossover,0.06458565330651467,1.0,0.0,2,0,3,12,2,7,2
VOF4WWM7XF,mutation,0.06458565330651467,1.0,0.0,2,1,3,11,2,7,3
BS7DECZ3D4,crossover,0.06458565330651467,1.0,0.0,2,0,3,10,2,7,2
S3U4EENDJ7,crossover,0.17084380241115005,0.4,0.25,2,0,3,28,2,2,2
71WWX9HYP4,crossover,0.17084380241115005,0.4,0.25,2,0,3,22,2,1,1
WXWMFOV98X,crossover,0.06458565330651467,1.0,0.0,2,1,4,10,2,8,2
H42OBHP1BX,crossover,0.06458565330651467,1.0,0.0,2,1,3,9,2,7,1
XJD4L7RJBT,mutation,0.17084380241115005,0.4,0.25,2,1,4,32,2,6,3
QQB1SZD7JW,crossover,0.17084380241115005,0.4,0.25,2,0,3,22,2,5,2
777R7HXRS6,crossover,0.06458565330651467,1.0,0.0,3,1,4,19,3,7,7
34RB8KHR1C,crossover,0.06458565330651467,1.0,0.0,2,0,4,16,2,7,4
E9CJ1VI260,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,25,3,7,5
X16KC1KQL8,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,25,3,7,5
BNST0NPL7C,crossover,0.06458565330651467,1.0,0.0,3,0,3,14,3,8,3
PCF5LP8A6K,crossover,0.06458565330651467,1.0,0.0,2,0,3,14,2,7,2
AEJ3OBUWWG,crossover,0.06458565330651467,1.0,0.0,2,1,4,20,2,8,2
8F16DLEUEC,crossover,0.06458565330651467,1.0,0.0,2,1,3,18,2,7,2
YRK98BT134,crossover,0.1339745962155613,1.0,1.0,3,1,4,17,3,6,3
LT4I36AK1T,mutation,0.17084380241115005,0.4,0.25,2,0,4,13,2,3,2
UKL0FF4JGR,mutation,0.17084380241115005,0.4,0.25,2,1,4,17,2,6,4
IVVVK42M1A,crossover,0.17084380241115005,0.4,0.25,2,0,3,17,2,6,3
7JRO39Q4I2,mutation,0.17084380241115005,0.4,0.25,2,0,4,32,2,4,1
NX85PE458Q,crossover,0.17084380241115005,0.4,0.25,2,0,3,28,2,4,1
