id,seed,creation_mode,error_val,dem_fpr_val,error_tst,dem_fpr_tst,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
BPXZSWRB6A,100,crossover,0.274652822505231,0.0046840816281144,0.2819499551013843,0.0067540902360528,0.1048799776092148,16,27,7,0.0192531529597394,123,0.4128192693058555
UGDX4ZJS2W,100,inicialization,0.269724641365493,0.0064305352084485,0.2773481939064365,0.0080259792704267,0.0540910156580664,40,40,4,0.0459428117052322,109,0.4184145993825633
CMMPSH3OES,100,inicialization,0.2950861656200225,0.004055135949562,0.3006566102416442,0.0052963509098251,0.6590575290507751,7,20,15,0.0326501884103383,109,0.9709364053933612
6G87KDPT5G,100,crossover,0.2481844449372804,0.0090936510539878,0.2531027318997056,0.0136787344436422,0.5983315329626839,25,27,12,0.0506735717488612,63,0.449189220786612
81KV3FSOGH,100,mutation,0.29026656659619,0.0065375602189425,0.2969122076016898,0.0081085794001395,0.5564561182458156,14,27,7,0.0394913884629366,56,0.3887430967446111
OUNJ7RN3HH,100,crossover,0.2381694565380695,0.0101107361374812,0.2400744219269053,0.0218676195254469,0.498370146493012,26,21,7,0.0441217724376983,147,0.3105808106161004
TPYKE7LU5Y,100,crossover,0.2792466458431334,0.0045770566176204,0.2827315771725835,0.0090141215629168,0.4511815375436471,27,21,3,0.0648385967694537,95,0.4162445160140476
1NJ21AIQOH,100,mutation,0.2574369443874655,0.0043428525362147,0.264202615590953,0.0099609637905505,0.3630973241448692,22,21,10,0.0323903111437572,69,0.515928075095744
YV4GKWQ62I,100,crossover,0.2303790529556456,0.0159053759913712,0.2342924261609252,0.0233949571091178,0.7342009808858945,52,21,11,0.0690190155722763,98,0.3167767518190881
C9ZAGRLYAL,100,inicialization,0.2558009813811924,0.0085182178806824,0.2586510716843911,0.015613718963766,0.8095996038291139,12,36,11,0.069044735593065,61,0.6669547033160421
95H1SIRZ88,100,crossover,0.2580501770040448,0.0118102794047741,0.2625228789164819,0.0208305290079418,0.5373935064383929,37,23,7,0.0583254961645492,81,0.3080920050400152
65IP4MAC0X,100,mutation,0.2114966480764121,0.020783353580056,0.2153626487283441,0.0277421713432616,0.3792657749305901,36,34,14,0.0876179102810666,139,0.6743990045364763
41FRZMTD4A,100,crossover,0.2355960915069955,0.0132155038932085,0.2311840519300452,0.0190760410675607,0.8901420590704288,15,19,11,0.0595472042661233,100,0.5600073271851174
