id,seed,creation_mode,error_val,dem_fpr_val,error_tst,dem_fpr_tst,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
T60BN48DRW,105,inicialization,0.3116605634442541,0.01280319440146628,0.3274791935391813,0.012713334452464888,0.19051116194105078,32,37,2,0.031109847347752455,89,0.970655605337784
CU8KTQ7K3H,105,crossover,0.23899374128101936,0.02081746447359025,0.24186206927327436,0.02449219405741145,0.24954886913873348,18,5,4,0.06321732397162164,147,0.27768350349714394
QPLUT47R64,105,inicialization,0.33208017898555486,0.014533396015329315,0.3497123609673982,0.010983343592039244,0.6355164956135304,2,39,12,0.03250080947277006,185,0.9117771906303876
ZZ2S8FFOR1,105,crossover,0.2099416580325556,0.03926203851372259,0.22548864614454178,0.03646317124577994,0.7069748628409733,44,26,10,0.08417878140243239,138,0.7070498758698902
0DCM3142HT,105,crossover,0.27002720627696764,0.009988455404536904,0.2753312203628354,0.018511368511368514,0.7370839781905036,44,16,4,0.05817448892458642,85,0.36531397672320165
EXEYZ328QY,105,crossover,0.2773003942027895,0.00844272928518721,0.28338761166075765,0.01754331971723276,0.7192469876506344,42,22,2,0.10056418751777461,105,0.7517895978497138
I8LEQZ8J0W,105,crossover,0.31744178804752476,0.015403703791864036,0.32400450136280146,0.015047656352004179,0.4720681136482057,28,20,13,0.024637899935555967,99,0.2277188289155569
UCBZ75BHJC,105,inicialization,0.2662114972227835,0.010059865273380784,0.27153872696364034,0.02024415720067894,0.9334342237372732,41,21,2,0.18951538604967996,59,0.3259952421769669
NPZTGN0QPG,105,inicialization,0.2934079816148826,0.004604448834828974,0.29828258874515157,0.015614683005987354,0.823791441229212,45,19,2,0.0842187710200361,83,0.7714440015448281
UDP6J7K4YJ,105,crossover,0.2239470229317161,0.026201471043298185,0.22655140000240737,0.028355063137671836,0.7060395564926538,13,21,14,0.07461689612739784,151,0.47195232130381704
KPKIBYGCNM,105,mutation,0.2119788352746228,0.04737896027230964,0.22521288808325024,0.038199690373603414,0.6223020611445427,47,27,10,0.1567596936543107,98,0.9077202051561106
AZNC5L4S1Y,105,crossover,0.2760626729528983,0.019917402585037252,0.2810825991420004,0.019484080353645572,0.5715909698816051,31,26,7,0.024155314572748103,104,0.36830813107807747
ZCKQN0KEZ4,105,crossover,0.21283159639801386,0.048566149341839046,0.22024009876908757,0.040711208102512456,0.44604670840957505,46,18,9,0.1367241940599939,135,0.7966294636124515
D2ANCEG7E5,105,mutation,0.21533002058745798,0.03371438432791411,0.22166461510241364,0.031054968011489752,0.7992149485209119,27,24,10,0.08532274128680728,151,0.4970342020969102
MQAIAPXJ2B,105,crossover,0.222056423074532,0.031155530694341956,0.229398213029681,0.029510566467088207,0.7603630730468781,36,20,6,0.08399558547404759,121,0.4017652367635973
AHYH2A5V0D,105,inicialization,0.20749506087338876,0.03891391540310871,0.21992624892694412,0.030278104191147674,0.979106497504427,30,27,10,0.16588510327075237,105,0.8700475260733225
G2OMKLEYO3,105,crossover,0.28689091255817456,0.004942158006236465,0.29154840564576134,0.014452651409173147,0.9085428219599887,40,21,3,0.05681674213606367,86,0.8400034164784869
LRI5DE3MG3,105,crossover,0.23832018611183647,0.020316107686082215,0.2378255331155854,0.027583794975099322,0.7155137469239299,33,34,3,0.10155051062105495,149,0.9453047737466227
PYWJEUG97S,105,inicialization,0.22196746219925179,0.03721495560686487,0.219323968118731,0.03530580269710704,0.5157820871510616,18,8,9,0.18978090218999646,142,0.43554079629321907
41N98JZWEM,105,inicialization,0.20898956261272783,0.04540328723429578,0.2175589841696951,0.03375767071419246,0.6004205992243465,59,4,5,0.16925855950517094,174,0.8646702258304361
8WXCA1S6BC,105,mutation,0.21018606823764707,0.035925114850872394,0.22014539493126484,0.03993714211105515,0.6234080872230141,41,28,10,0.14373069962422313,150,0.469983164759047
XDV3BTP6KT,105,mutation,0.25349280965342946,0.018432672395325034,0.25780387386872483,0.02623244362374797,0.49698132165281694,5,21,7,0.07107056088851053,155,0.3133721892784404
JGZWK1Y35O,105,inicialization,0.2591777371423303,0.003560079502987319,0.2665691801451031,0.011356387443343961,1,31,20,-1,0.01,100,1.0
