id,seed,creation_mode,gmean_inv,dem_fpr,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight,fair_param
U9WEODQAXU,100,mutation,0.2213349038996354,0.02684590344398144,11,222,1,11,26,1499,4,6
KTYMFP1BVI,100,mutation,0.22118624673014475,0.027970013537968852,9,122,1,9,34,1040,4,3
TQJ7FPGYJH,100,crossover,0.2208007907534305,0.029562531794767727,9,130,1,9,21,1143,4,4
QNSZZQVBRP,100,inicialization,0.2145337323443175,0.030787064707043357,8,88,1,8,27,224,4,2
9GSAVB3LD0,100,mutation,0.21159274365430203,0.03423306155467032,8,86,0,8,39,881,4,2
XUJXXHXG1V,100,crossover,0.20517660027096607,0.03767245621009149,11,233,0,11,28,863,4,4
C6T7QH4JYY,100,crossover,0.2019130079816166,0.04609685346469147,12,302,0,12,27,1064,4,4
N2403RKC96,100,crossover,0.20079324510592522,0.04613021190952078,10,191,0,10,19,1451,4,3
PSFJOVZ1YV,100,crossover,0.1843204911634836,0.05881719294246501,11,271,0,11,15,607,3,5
15C87FZ56B,100,crossover,0.18328882698300364,0.05960007394455269,11,230,0,11,30,683,3,3
4IUQJVTHRB,100,mutation,0.17312696752004264,0.06676657984204776,10,199,0,10,16,546,3,5
LWO837O1LW,100,crossover,0.171504257984039,0.06724159019706501,9,136,0,9,23,560,3,2
ZBDY5VHD9X,100,crossover,0.17095400211738931,0.07445500640760128,9,133,1,9,21,215,3,5
JLKI7SYHZQ,100,mutation,0.1700053615493422,0.08464566381915273,8,110,0,8,11,207,3,4
89HNJBHA57,100,crossover,0.2979824938735527,0.0008770491119704099,20,803,0,20,24,1316,6,8
7VCR0MSRAY,100,crossover,0.171504257984039,0.0851675844872112,8,102,0,8,18,474,3,4
CGTAK9G8JT,100,crossover,0.2213349038996354,0.02684590344398144,11,222,1,11,27,1617,4,3
ONDHISF1U1,100,crossover,0.25596455068963697,0.01829432711846974,21,381,0,21,8,381,5,5
JEB3FUBC89,100,crossover,0.27907421459612114,0.007628311868100708,9,121,0,9,39,1866,5,2
87E9O907WF,100,mutation,0.17805129231488792,0.07199238871483812,6,47,0,6,19,941,3,3
82K2KE6RTS,100,mutation,0.26740652786500385,0.017330754540223335,13,371,0,13,28,1614,5,5
VLRGSSXZSF,100,crossover,0.19885746786680558,0.05896452607379446,14,515,0,14,15,647,3,6
1A2SM257I4,100,inicialization,0.49803456429826565,2.6756252623502804e-05,9,24,0,28,13,24,9,9
AO6H9FI4D4,100,inicialization,0.28813770408838657,0.0007231137884351896,17,692,0,17,21,2286,6,5
UL6D5NMIB6,100,crossover,0.28691047980506557,0.004644120991079394,20,629,1,20,33,1736,6,5
IC6DB61YYO,100,inicialization,0.27831993983052283,0.005092375093473142,5,26,0,5,27,641,5,2
N055ID888Q,100,crossover,0.2770988718089663,0.007835759696882938,6,44,0,6,12,630,5,8
B2WJTM5EH2,100,mutation,0.27383956695533607,0.010940527452610163,9,125,1,9,29,1273,5,1
GBFCRW3CLG,100,crossover,0.26927541929960186,0.012211970677926988,13,416,0,13,19,1920,5,3
S5OXDS4MBO,100,crossover,0.26153562195602476,0.014145718026625606,7,63,0,7,28,1061,4,1
Z9X6J3TS41,100,crossover,0.2544688161746508,0.017330754540223335,13,329,1,13,32,1189,5,4
AVJDVLIGL9,100,crossover,0.2222813603536804,0.024918758287488636,11,215,1,11,33,1151,5,4
XCUR4QHFD4,100,crossover,0.2221971228160925,0.025514345521211804,11,214,1,11,33,1078,4,3
9JKWYG5UH4,100,inicialization,0.22153294276440527,0.02632398277592299,11,218,1,11,30,1866,4,0
U9WEODQAXU,100,mutation,0.2213349038996354,0.02684590344398144,11,222,1,11,26,1499,4,6
KTYMFP1BVI,100,mutation,0.22118624673014475,0.027970013537968852,9,122,1,9,34,1040,4,3
TQJ7FPGYJH,100,crossover,0.2208007907534305,0.029562531794767727,9,130,1,9,21,1143,4,4
SCT5PVI3DC,100,crossover,0.21473982327118546,0.03031865654423191,9,128,0,9,32,1426,4,3
QNSZZQVBRP,100,inicialization,0.2145337323443175,0.030787064707043357,8,88,1,8,27,224,4,2
9GSAVB3LD0,100,mutation,0.21159274365430203,0.03423306155467032,8,86,0,8,39,881,4,2
XUJXXHXG1V,100,crossover,0.20517660027096607,0.03767245621009149,11,233,0,11,28,863,4,4
VGYQGJOJWL,100,mutation,0.20118367344133736,0.04558153498883882,10,185,0,10,22,706,4,4
8N5IKQPYFF,100,crossover,0.2009143364276076,0.04584249532286805,10,186,0,10,21,1053,4,3
N2403RKC96,100,crossover,0.20079324510592522,0.04613021190952078,10,191,0,10,19,1451,4,3
XSIOFNZK8V,100,mutation,0.18337712652605298,0.0574588787670719,11,238,0,11,23,821,3,4
15C87FZ56B,100,crossover,0.18328882698300364,0.05960007394455269,11,230,0,11,30,683,3,3
FYBOC6T9SF,100,crossover,0.1783005731343208,0.06458507654373152,7,69,0,7,20,453,3,4
4IUQJVTHRB,100,mutation,0.17312696752004264,0.06676657984204776,10,199,0,10,16,546,3,5
LWO837O1LW,100,crossover,0.171504257984039,0.06724159019706501,9,136,0,9,23,560,3,2
ZBDY5VHD9X,100,crossover,0.17095400211738931,0.07445500640760128,9,133,1,9,21,215,3,5
JLKI7SYHZQ,100,mutation,0.1700053615493422,0.08464566381915273,8,110,0,8,11,207,3,4
89HNJBHA57,100,crossover,0.2979824938735527,0.0008770491119704099,20,803,0,20,24,1316,6,8
1A2SM257I4,100,inicialization,0.49803456429826565,2.6756252623502804e-05,9,24,0,28,13,24,9,9
JLKI7SYHZQ,100,mutation,0.1700053615493422,0.08464566381915273,8,110,0,8,11,207,3,4
TUGF35LNI0,100,mutation,0.40603259830363303,0.0005688309810996609,19,125,1,21,19,125,8,7
AO6H9FI4D4,100,inicialization,0.28813770408838657,0.0007231137884351896,17,692,0,17,21,2286,6,5
OZW1TW8K7U,100,crossover,0.20052368098331208,0.04639117224355001,10,188,0,10,20,553,4,4
XSIOFNZK8V,100,mutation,0.18337712652605298,0.0574588787670719,11,238,0,11,23,821,3,4
1YSN5T9VW7,100,crossover,0.2503057947653192,0.022864434060084114,16,114,0,16,15,114,5,7
XUJXXHXG1V,100,crossover,0.20517660027096607,0.03767245621009149,11,233,0,11,28,863,4,4
Z9X6J3TS41,100,crossover,0.2544688161746508,0.017330754540223335,13,329,1,13,32,1189,5,4
TRX8ICKZ8G,100,crossover,0.17019832002612734,0.07610103716964714,9,140,1,9,17,211,3,5
23TB0L9YB0,100,crossover,0.2005538073911174,0.0435206085692285,10,167,0,10,34,991,4,3
TW0C4BK42E,100,crossover,0.2222813603536804,0.024918758287488636,11,213,1,11,37,1079,5,3
9GSAVB3LD0,100,mutation,0.21159274365430203,0.03423306155467032,8,86,0,8,39,881,4,2
FYBOC6T9SF,100,crossover,0.1783005731343208,0.06458507654373152,7,69,0,7,20,453,3,4
S5OXDS4MBO,100,crossover,0.26153562195602476,0.014145718026625606,7,63,0,7,28,1061,4,1
ZBDY5VHD9X,100,crossover,0.17095400211738931,0.07445500640760128,9,133,1,9,21,215,3,5
PVLIL4DJQX,100,mutation,0.17095503966583792,0.06752930678371774,9,141,0,9,19,517,3,4
N055ID888Q,100,crossover,0.2770988718089663,0.007835759696882938,6,44,0,6,12,630,5,8
UL6D5NMIB6,100,crossover,0.28691047980506557,0.004644120991079394,20,629,1,20,33,1736,6,5
B2WJTM5EH2,100,mutation,0.27383956695533607,0.010940527452610163,9,125,1,9,29,1273,5,1
GBFCRW3CLG,100,crossover,0.26927541929960186,0.012211970677926988,13,416,0,13,19,1920,5,3
Q99B1N0WOM,100,crossover,0.18316438121217304,0.06012199461261117,11,234,0,11,26,622,3,4
IC6DB61YYO,100,inicialization,0.27831993983052283,0.005092375093473142,5,26,0,5,27,641,5,2
QNSZZQVBRP,100,inicialization,0.2145337323443175,0.030787064707043357,8,88,1,8,27,224,4,2
4IUQJVTHRB,100,mutation,0.17312696752004264,0.06676657984204776,10,199,0,10,16,546,3,5
TQJ7FPGYJH,100,crossover,0.2208007907534305,0.029562531794767727,9,130,1,9,21,1143,4,4
KTYMFP1BVI,100,mutation,0.22118624673014475,0.027970013537968852,9,122,1,9,34,1040,4,3
SCT5PVI3DC,100,crossover,0.21473982327118546,0.03031865654423191,9,128,0,9,32,1426,4,3
15C87FZ56B,100,crossover,0.18328882698300364,0.05960007394455269,11,230,0,11,30,683,3,3
U9WEODQAXU,100,mutation,0.2213349038996354,0.02684590344398144,11,222,1,11,26,1499,4,6
WZRURYTI1W,100,crossover,0.32467437054931625,1.9806576617396876e-05,19,333,0,19,18,333,7,6
JLKI7SYHZQ,100,mutation,0.1700053615493422,0.08464566381915273,8,110,0,8,11,207,3,4
AO6H9FI4D4,100,inicialization,0.28813770408838657,0.0007231137884351896,17,692,0,17,21,2286,6,5
1YSN5T9VW7,100,crossover,0.2503057947653192,0.022864434060084114,16,114,0,16,15,114,5,7
OZW1TW8K7U,100,crossover,0.20052368098331208,0.04639117224355001,10,188,0,10,20,553,4,4
XSIOFNZK8V,100,mutation,0.18337712652605298,0.0574588787670719,11,238,0,11,23,821,3,4
TW0C4BK42E,100,crossover,0.2222813603536804,0.024918758287488636,11,213,1,11,37,1079,5,3
FYBOC6T9SF,100,crossover,0.1783005731343208,0.06458507654373152,7,69,0,7,20,453,3,4
23TB0L9YB0,100,crossover,0.2005538073911174,0.0435206085692285,10,167,0,10,34,991,4,3
Z9X6J3TS41,100,crossover,0.2544688161746508,0.017330754540223335,13,329,1,13,32,1189,5,4
TRX8ICKZ8G,100,crossover,0.17019832002612734,0.07610103716964714,9,140,1,9,17,211,3,5
XUJXXHXG1V,100,crossover,0.20517660027096607,0.03767245621009149,11,233,0,11,28,863,4,4
9GSAVB3LD0,100,mutation,0.21159274365430203,0.03423306155467032,8,86,0,8,39,881,4,2
QY48YFG1WA,100,crossover,0.26664079497503124,0.01184398533340375,17,381,0,17,20,381,5,3
UL6D5NMIB6,100,crossover,0.28691047980506557,0.004644120991079394,20,629,1,20,33,1736,6,5
B2WJTM5EH2,100,mutation,0.27383956695533607,0.010940527452610163,9,125,1,9,29,1273,5,1
S5OXDS4MBO,100,crossover,0.26153562195602476,0.014145718026625606,7,63,0,7,28,1061,4,1
ZBDY5VHD9X,100,crossover,0.17095400211738931,0.07445500640760128,9,133,1,9,21,215,3,5
2X7Q0VXQKZ,100,crossover,0.17095503966583792,0.06752930678371774,9,140,0,9,20,378,3,4
IC6DB61YYO,100,inicialization,0.27831993983052283,0.005092375093473142,5,26,0,5,27,641,5,2
N055ID888Q,100,crossover,0.2770988718089663,0.007835759696882938,6,44,0,6,12,630,5,8
Q99B1N0WOM,100,crossover,0.18316438121217304,0.06012199461261117,11,234,0,11,26,622,3,4
RYNDFVB3CA,100,crossover,0.25975482468134925,0.017250485782352824,14,290,0,14,22,290,5,5
FVCFQ9IWMK,100,crossover,0.20840022072704045,0.03759218745222098,12,300,1,12,18,1409,4,4
TQJ7FPGYJH,100,crossover,0.2208007907534305,0.029562531794767727,9,130,1,9,21,1143,4,4
QNSZZQVBRP,100,inicialization,0.2145337323443175,0.030787064707043357,8,88,1,8,27,224,4,2
5AZGXQF3IZ,100,crossover,0.1737935319431526,0.06673982358942426,10,185,0,10,21,620,3,4
SCT5PVI3DC,100,crossover,0.21473982327118546,0.03031865654423191,9,128,0,9,32,1426,4,3
U9WEODQAXU,100,mutation,0.2213349038996354,0.02684590344398144,11,222,1,11,26,1499,4,6
KTYMFP1BVI,100,mutation,0.22118624673014475,0.027970013537968852,9,122,1,9,34,1040,4,3
WZRURYTI1W,100,crossover,0.32467437054931625,1.9806576617396876e-05,19,333,0,19,18,333,7,6
AO6H9FI4D4,100,inicialization,0.28813770408838657,0.0007231137884351896,17,692,0,17,21,2286,6,5
UL6D5NMIB6,100,crossover,0.28691047980506557,0.004644120991079394,20,629,1,20,33,1736,6,5
IC6DB61YYO,100,inicialization,0.27831993983052283,0.005092375093473142,5,26,0,5,27,641,5,2
N055ID888Q,100,crossover,0.2770988718089663,0.007835759696882938,6,44,0,6,12,630,5,8
B2WJTM5EH2,100,mutation,0.27383956695533607,0.010940527452610163,9,125,1,9,29,1273,5,1
QY48YFG1WA,100,crossover,0.26664079497503124,0.01184398533340375,17,381,0,17,20,381,5,3
S5OXDS4MBO,100,crossover,0.26153562195602476,0.014145718026625606,7,63,0,7,28,1061,4,1
FW91FO91JO,100,crossover,0.2612437962341666,0.0150290218470015,16,361,0,16,19,361,5,5
RYNDFVB3CA,100,crossover,0.25975482468134925,0.017250485782352824,14,290,0,14,22,290,5,5
Z9X6J3TS41,100,crossover,0.2544688161746508,0.017330754540223335,13,329,1,13,32,1189,5,4
XBONJ075RE,100,crossover,0.25405520660950487,0.018923272797022203,13,331,1,13,24,331,5,3
1YSN5T9VW7,100,crossover,0.2503057947653192,0.022864434060084114,16,114,0,16,15,114,5,7
