id,seed,creation_mode,gmean_inv,dem_fpr,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
BOMVL71ZR5,102,inicialization,0.22535760134964822,0.020623820623820628,0.7234553383262393,19,5,16,0.054141375355968115,125,0.4595761775268804
77BGZ5LF1L,102,inicialization,0.21937309497734192,0.024505124505124508,0.2412206633565408,52,39,6,0.1606730316132765,58,0.7604133041694072
HUJBNZKO1H,102,inicialization,0.21518988778922987,0.018015318015318013,0.7471419942977718,50,11,13,0.14945733897010594,89,0.22083390464484717
M2QXWQOUYM,102,inicialization,0.21535790437113456,0.023195323195323192,0.9929947675928217,46,17,12,0.09302283367796771,156,0.5701627041923069
20MHPTZG51,102,inicialization,0.21553809546218405,0.025271025271025274,0.6011257893091675,40,10,12,0.1518031381534775,116,0.4683466255039931
1N2OX6EV87,102,inicialization,0.22926169994513135,0.018289118289118292,0.9570036847195242,42,3,9,0.03412079221498502,131,0.7779555937335695
UTSOWU933Y,102,inicialization,0.3089099230597462,0.014696414696414695,0.0391316217390304,2,6,18,0.15111169600880836,84,0.9009441938916684
5SKHZYG65Y,102,inicialization,0.21545901168542458,0.026580826580826583,0.4481639842237376,49,15,9,0.07377822790089236,136,0.5314046129638414
QVM5MDMXWT,102,inicialization,0.21609657730285603,0.021389721389721394,0.355347756027076,10,32,19,0.17380166880800624,115,0.9267047302851884
OYLAQFWWDF,102,inicialization,0.24719552283326607,0.014922114922114926,0.3448392926709366,3,23,12,0.15034126788636054,178,0.809905193336538
SLHXL7RO96,102,inicialization,0.23165368094717798,0.02011322011322011,0.9761979493563449,16,25,15,0.1589486188729414,117,0.10886610318461569
9WCPTBAK3I,102,inicialization,0.21157457853458717,0.019299219299219295,0.6908703820920478,54,8,18,0.19780115605108267,146,0.19337385553074654
J64N70EW1N,102,inicialization,0.2140489799481674,0.02449402449402449,0.8428203459410606,48,33,19,0.06615432417116407,135,0.6139349227331934
IQK8MJRHZX,102,inicialization,0.23655107254935803,0.013101713101713104,0.6055923904062913,15,16,18,0.03962691125494793,131,0.5611266946771748
41SV96E7C4,102,inicialization,0.21580845973164375,0.022932622932622937,0.05649123537901524,39,32,15,0.18761047290230393,142,0.38850335467098174
TCCE4KCZ2O,102,inicialization,0.5502742007731476,0.0028379028379028376,0.027359851039719274,7,13,14,0.02202049624723665,70,0.1579494841201664
DDR2YZZ0DS,102,inicialization,0.28956404684299275,0.012354312354312353,0.9749769683700037,8,18,4,0.030052643709866475,136,0.268220969328433
G29C5B2I48,102,inicialization,0.23874635695872037,0.01518111518111518,0.43539127009764167,3,21,11,0.1726794496579107,198,0.5740563757998735
GYYDLVI1VS,102,inicialization,0.2563226745673661,0.014415214415214418,0.27267603977914934,48,38,19,0.024644160850892098,75,0.5026603963224577
H79PDIKUY9,102,inicialization,0.22910690090173502,0.02218152218152218,0.07315119775291501,55,15,7,0.08257540097197098,74,0.9904030743204368
08Z956RCO7,102,inicialization,0.22159784826515072,0.016724016724016723,0.6751366815172503,21,21,4,0.09154004064944096,190,0.7271323229745479
KL7UXTA5HR,102,inicialization,0.21342182749366734,0.019554519554519548,0.4235655196359801,47,12,11,0.15755371517825073,178,0.34579898522696717
7W42YH1L5W,102,inicialization,0.6929481181777589,1.0,0.019860468940023135,21,4,14,0.013988502728012931,162,0.10464560372530111
INBCE5FKHT,102,inicialization,0.2553827419349186,0.012861212861212858,0.46208510556159443,54,25,3,0.05122176485502728,175,0.24010067970677035
SCL4KKKB9R,102,inicialization,0.2560709645160113,0.008965108965108964,0.38943549219984286,17,29,15,0.012726254329746682,151,0.5703284096887249
