id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
0XIDRAP784,crossover,0.2231087371280901,0.03505625067759341,0,18,23,911,4
6OZW1TW8K7,mutation,0.23658379509833383,0.05961988052117011,1,26,20,1489,4
GGPVLIL4DJ,crossover,0.23842448526493776,0.03618036077158082,0,22,17,887,4
QMRZJMNB3T,crossover,0.21057556107800113,0.05019855224349441,0,15,14,431,4
YVDQBMDOZ9,crossover,0.20169640040965864,0.05823481009315347,0,14,13,369,4
C5CPJ414JP,crossover,0.23071414460780015,0.03482204659618768,0,23,26,1072,4
K20PASACO1,crossover,0.18219158435834237,0.053303667483021955,0,14,22,756,3
KYHPFUIQXQ,crossover,0.4278990113024168,0.00017408938395292034,1,15,17,370,8
R7PAMVXO5I,crossover,0.4255191016057762,0.0019403495409044055,1,15,16,319,8
FTRGE6LJ68,crossover,0.20668647055639366,0.06772320274428804,1,30,39,1129,3
9TRX8ICKZ8,crossover,0.19892806577690458,0.08563599265002264,1,23,39,1085,2
